[34, 24, 25, 28, 22, 46, 19];[34.0, 22.0, 24.0, 28.0, 22.0, 44.0, 18.0]
[24, 27, 34, 28, 30, 25, 30];[24.0, 26.0, 33.0, 28.0, 29.0, 25.0, 29.0]
[31, 20, 26, 40, 30, 24, 27];[31.0, 18.0, 26.0, 40.0, 30.0, 24.0, 27.0]
[23, 24, 27, 29, 37, 29, 28];[23.0, 23.0, 27.0, 28.0, 37.0, 27.0, 28.0]
[32, 29, 30, 37, 19, 32, 19];[31.0, 28.0, 30.0, 37.0, 19.0, 32.0, 19.0]
[29, 24, 35, 14, 33, 44, 19];[27.0, 23.0, 35.0, 14.0, 33.0, 42.0, 19.0]
[31, 29, 28, 31, 28, 28, 22];[29.0, 28.0, 28.0, 30.0, 28.0, 27.0, 20.0]
[24, 30, 49, 29, 22, 17, 27];[24.0, 29.0, 49.0, 29.0, 22.0, 16.0, 27.0]
[19, 19, 32, 33, 30, 29, 36];[18.0, 19.0, 32.0, 32.0, 29.0, 29.0, 35.0]
[28, 34, 22, 25, 23, 17, 49];[26.0, 34.0, 22.0, 23.0, 23.0, 16.0, 49.0]
[22, 40, 33, 23, 22, 24, 34];[21.0, 39.0, 33.0, 23.0, 21.0, 24.0, 34.0]
[41, 24, 28, 26, 42, 16, 21];[37.0, 21.0, 28.0, 26.0, 40.0, 16.0, 20.0]
[19, 24, 27, 23, 34, 34, 37];[19.0, 23.0, 26.0, 23.0, 31.0, 34.0, 35.0]
[29, 37, 20, 27, 26, 32, 26];[29.0, 37.0, 20.0, 27.0, 25.0, 31.0, 26.0]
[19, 26, 27, 34, 28, 27, 37];[18.0, 24.0, 26.0, 34.0, 28.0, 24.0, 36.0]
[21, 33, 30, 19, 35, 27, 33];[19.0, 33.0, 30.0, 19.0, 34.0, 24.0, 33.0]
[28, 23, 24, 41, 30, 18, 34];[28.0, 23.0, 23.0, 40.0, 29.0, 18.0, 34.0]
[31, 28, 32, 27, 30, 27, 23];[31.0, 27.0, 32.0, 27.0, 30.0, 26.0, 23.0]
[21, 34, 29, 23, 25, 32, 34];[21.0, 31.0, 28.0, 23.0, 25.0, 31.0, 34.0]
[16, 33, 36, 21, 34, 27, 31];[16.0, 32.0, 36.0, 19.0, 32.0, 23.0, 31.0]
[21, 30, 29, 29, 25, 27, 35];[21.0, 30.0, 29.0, 29.0, 24.0, 27.0, 35.0]
[14, 25, 36, 35, 19, 23, 46];[14.0, 21.0, 34.0, 34.0, 18.0, 22.0, 43.0]
[22, 28, 26, 29, 32, 27, 34];[21.0, 25.0, 26.0, 29.0, 28.0, 25.0, 32.0]
[36, 22, 28, 20, 31, 31, 30];[35.0, 22.0, 27.0, 20.0, 31.0, 31.0, 30.0]
[24, 32, 25, 30, 46, 17, 24];[23.0, 29.0, 25.0, 29.0, 45.0, 16.0, 24.0]
[27, 40, 22, 26, 26, 26, 29];[25.0, 38.0, 21.0, 26.0, 26.0, 24.0, 29.0]
[30, 32, 39, 30, 17, 26, 24];[30.0, 32.0, 39.0, 30.0, 17.0, 26.0, 24.0]
[23, 42, 24, 17, 21, 30, 40];[23.0, 41.0, 23.0, 15.0, 19.0, 29.0, 40.0]
[24, 28, 25, 40, 17, 29, 35];[23.0, 26.0, 24.0, 39.0, 17.0, 29.0, 33.0]
[21, 22, 37, 16, 30, 35, 37];[21.0, 22.0, 37.0, 16.0, 29.0, 34.0, 37.0]
[32, 23, 36, 22, 27, 29, 28];[32.0, 22.0, 36.0, 21.0, 27.0, 28.0, 28.0]
[33, 30, 29, 36, 22, 19, 29];[29.0, 30.0, 28.0, 36.0, 22.0, 19.0, 29.0]
[21, 28, 30, 37, 20, 32, 30];[21.0, 28.0, 28.0, 36.0, 19.0, 31.0, 29.0]
[18, 10, 29, 27, 26, 57, 31];[18.0, 10.0, 29.0, 27.0, 26.0, 57.0, 31.0]
[28, 33, 27, 23, 23, 31, 33];[27.0, 33.0, 26.0, 21.0, 23.0, 31.0, 32.0]
[27, 31, 28, 28, 33, 21, 30];[25.0, 30.0, 28.0, 28.0, 33.0, 21.0, 28.0]
[34, 24, 46, 30, 20, 25, 19];[32.0, 23.0, 46.0, 29.0, 19.0, 25.0, 19.0]
[23, 27, 16, 34, 29, 27, 41];[21.0, 26.0, 16.0, 34.0, 27.0, 27.0, 41.0]
[32, 23, 31, 30, 23, 32, 27];[32.0, 20.0, 31.0, 30.0, 23.0, 32.0, 27.0]
[19, 30, 22, 30, 28, 39, 30];[19.0, 30.0, 22.0, 30.0, 28.0, 37.0, 30.0]
[34, 34, 37, 19, 25, 29, 20];[33.0, 33.0, 37.0, 18.0, 25.0, 29.0, 19.0]
[34, 25, 26, 27, 22, 43, 20];[33.0, 22.0, 26.0, 27.0, 22.0, 42.0, 19.0]
[24, 23, 27, 23, 52, 26, 20];[24.0, 22.0, 26.0, 23.0, 52.0, 26.0, 20.0]
[26, 20, 29, 16, 36, 32, 38];[23.0, 20.0, 29.0, 16.0, 36.0, 32.0, 37.0]
[25, 46, 14, 35, 23, 18, 36];[24.0, 44.0, 14.0, 34.0, 23.0, 16.0, 36.0]
[33, 28, 27, 24, 34, 26, 24];[32.0, 23.0, 27.0, 21.0, 33.0, 26.0, 23.0]
[24, 16, 42, 21, 41, 28, 26];[24.0, 14.0, 39.0, 21.0, 41.0, 27.0, 26.0]
[22, 37, 22, 28, 32, 31, 25];[22.0, 31.0, 22.0, 27.0, 31.0, 31.0, 25.0]
[49, 7, 31, 14, 36, 47, 14];[43.0, 7.0, 28.0, 14.0, 36.0, 47.0, 13.0]
[28, 29, 22, 21, 28, 35, 35];[26.0, 27.0, 21.0, 21.0, 27.0, 33.0, 35.0]
[36, 33, 27, 27, 18, 33, 24];[34.0, 32.0, 26.0, 27.0, 18.0, 33.0, 24.0]
[26, 31, 24, 17, 16, 58, 26];[26.0, 31.0, 24.0, 16.0, 16.0, 57.0, 25.0]
[25, 27, 34, 32, 33, 17, 30];[23.0, 25.0, 34.0, 31.0, 33.0, 17.0, 28.0]
[31, 24, 40, 17, 29, 34, 23];[31.0, 22.0, 40.0, 17.0, 29.0, 32.0, 23.0]
[29, 33, 30, 33, 28, 22, 23];[29.0, 33.0, 30.0, 33.0, 27.0, 21.0, 22.0]
[21, 39, 24, 26, 27, 25, 36];[21.0, 37.0, 23.0, 26.0, 25.0, 25.0, 35.0]
[21, 34, 33, 31, 22, 25, 32];[21.0, 34.0, 33.0, 31.0, 20.0, 25.0, 32.0]
[28, 32, 11, 45, 31, 28, 23];[27.0, 30.0, 10.0, 44.0, 30.0, 25.0, 23.0]
[31, 29, 28, 32, 28, 18, 32];[30.0, 27.0, 28.0, 31.0, 28.0, 18.0, 32.0]
[24, 33, 24, 38, 27, 25, 27];[24.0, 30.0, 24.0, 38.0, 26.0, 25.0, 26.0]
[27, 19, 31, 37, 29, 17, 38];[26.0, 17.0, 31.0, 37.0, 29.0, 17.0, 38.0]
[30, 24, 42, 24, 25, 21, 32];[29.0, 22.0, 42.0, 24.0, 25.0, 20.0, 32.0]
[0, 0, 0, 0, 97, 3, 98];[0.0, 0.0, 0.0, 0.0, 97.0, 3.0, 98.0]
[23, 32, 25, 18, 19, 41, 40];[23.0, 32.0, 25.0, 18.0, 19.0, 40.0, 39.0]
[28, 26, 24, 37, 28, 24, 31];[24.0, 23.0, 22.0, 37.0, 26.0, 22.0, 31.0]
[27, 33, 35, 34, 26, 17, 26];[27.0, 32.0, 34.0, 34.0, 26.0, 15.0, 26.0]
[23, 27, 21, 24, 33, 24, 46];[23.0, 27.0, 21.0, 24.0, 31.0, 24.0, 44.0]
[26, 38, 28, 27, 35, 28, 16];[24.0, 33.0, 28.0, 27.0, 35.0, 27.0, 16.0]
[27, 30, 28, 31, 27, 30, 25];[27.0, 29.0, 28.0, 31.0, 27.0, 30.0, 22.0]
[24, 31, 29, 31, 22, 31, 31];[20.0, 30.0, 27.0, 31.0, 22.0, 31.0, 31.0]
[43, 28, 15, 31, 19, 37, 23];[42.0, 28.0, 15.0, 29.0, 19.0, 36.0, 23.0]
[30, 29, 28, 34, 21, 28, 28];[30.0, 29.0, 27.0, 34.0, 21.0, 27.0, 28.0]
[26, 30, 19, 36, 21, 35, 31];[26.0, 30.0, 19.0, 35.0, 21.0, 32.0, 29.0]
[45, 20, 28, 33, 26, 17, 29];[44.0, 20.0, 28.0, 32.0, 26.0, 17.0, 28.0]
[38, 23, 24, 25, 29, 35, 24];[34.0, 21.0, 24.0, 25.0, 28.0, 33.0, 24.0]
[28, 28, 25, 20, 30, 34, 33];[27.0, 28.0, 25.0, 20.0, 29.0, 33.0, 33.0]
[35, 17, 38, 30, 22, 25, 31];[35.0, 17.0, 38.0, 29.0, 22.0, 24.0, 31.0]
[23, 27, 35, 32, 22, 27, 32];[23.0, 25.0, 34.0, 31.0, 21.0, 27.0, 31.0]
[26, 22, 17, 31, 34, 31, 37];[26.0, 18.0, 15.0, 29.0, 34.0, 29.0, 37.0]
[23, 31, 32, 27, 27, 24, 34];[21.0, 31.0, 32.0, 27.0, 26.0, 24.0, 33.0]
[38, 16, 38, 16, 25, 36, 29];[37.0, 16.0, 35.0, 16.0, 24.0, 36.0, 26.0]
[33, 19, 32, 26, 30, 16, 41];[32.0, 18.0, 32.0, 26.0, 30.0, 16.0, 41.0]
[25, 34, 34, 41, 24, 19, 21];[23.0, 34.0, 34.0, 41.0, 24.0, 19.0, 21.0]
[24, 27, 34, 19, 35, 23, 36];[24.0, 26.0, 33.0, 19.0, 35.0, 21.0, 33.0]
[31, 13, 39, 21, 25, 33, 36];[31.0, 13.0, 39.0, 20.0, 24.0, 32.0, 35.0]
[29, 33, 23, 43, 21, 23, 26];[29.0, 29.0, 22.0, 43.0, 21.0, 23.0, 26.0]
[24, 29, 29, 35, 27, 21, 33];[23.0, 28.0, 29.0, 35.0, 27.0, 21.0, 32.0]
[24, 26, 32, 26, 33, 30, 27];[23.0, 26.0, 31.0, 26.0, 33.0, 30.0, 27.0]
[21, 24, 37, 19, 28, 35, 33];[21.0, 24.0, 36.0, 19.0, 27.0, 34.0, 33.0]
[25, 22, 36, 38, 24, 22, 31];[25.0, 19.0, 36.0, 38.0, 23.0, 21.0, 31.0]
[22, 51, 29, 22, 23, 26, 24];[21.0, 51.0, 28.0, 22.0, 21.0, 26.0, 24.0]
[30, 20, 31, 35, 32, 23, 27];[29.0, 19.0, 30.0, 33.0, 32.0, 22.0, 26.0]
[25, 24, 27, 35, 29, 30, 28];[24.0, 24.0, 26.0, 35.0, 28.0, 30.0, 28.0]
[38, 24, 45, 21, 24, 18, 29];[38.0, 24.0, 45.0, 21.0, 22.0, 18.0, 28.0]
