[35, 30, 19, 28, 25, 37, 25];[33.0, 26.0, 12.0, 23.0, 23.0, 31.0, 20.0]
[16, 37, 33, 31, 27, 30, 24];[16.0, 34.0, 28.0, 25.0, 26.0, 27.0, 21.0]
[19, 30, 28, 28, 32, 40, 22];[19.0, 22.0, 27.0, 26.0, 30.0, 31.0, 21.0]
[21, 30, 31, 22, 26, 25, 44];[19.0, 23.0, 28.0, 19.0, 25.0, 22.0, 36.0]
[22, 40, 18, 38, 28, 27, 26];[20.0, 38.0, 18.0, 30.0, 26.0, 21.0, 22.0]
[26, 34, 20, 21, 16, 45, 37];[23.0, 30.0, 19.0, 20.0, 16.0, 37.0, 30.0]
[37, 38, 30, 23, 33, 20, 18];[33.0, 36.0, 26.0, 18.0, 33.0, 19.0, 15.0]
[28, 23, 34, 20, 29, 29, 36];[24.0, 22.0, 31.0, 18.0, 24.0, 26.0, 30.0]
[29, 31, 29, 22, 31, 37, 20];[26.0, 29.0, 24.0, 18.0, 24.0, 34.0, 19.0]
[25, 26, 31, 36, 24, 28, 29];[23.0, 22.0, 27.0, 35.0, 21.0, 25.0, 23.0]
[28, 31, 26, 29, 20, 32, 33];[25.0, 27.0, 25.0, 27.0, 20.0, 25.0, 29.0]
[34, 31, 30, 28, 21, 37, 18];[29.0, 29.0, 26.0, 23.0, 19.0, 31.0, 16.0]
[27, 19, 31, 28, 46, 27, 21];[26.0, 18.0, 28.0, 26.0, 45.0, 25.0, 12.0]
[10, 37, 21, 24, 31, 39, 37];[10.0, 33.0, 20.0, 22.0, 30.0, 37.0, 34.0]
[24, 25, 33, 33, 24, 35, 25];[19.0, 21.0, 28.0, 28.0, 24.0, 33.0, 22.0]
[35, 25, 22, 30, 25, 24, 38];[30.0, 24.0, 20.0, 26.0, 23.0, 24.0, 32.0]
[30, 19, 43, 29, 24, 25, 29];[23.0, 17.0, 35.0, 27.0, 24.0, 24.0, 25.0]
[31, 32, 28, 21, 30, 29, 28];[30.0, 29.0, 27.0, 20.0, 26.0, 26.0, 27.0]
[33, 33, 26, 40, 19, 30, 18];[29.0, 30.0, 23.0, 32.0, 17.0, 23.0, 16.0]
[26, 22, 43, 27, 20, 28, 33];[26.0, 21.0, 40.0, 24.0, 18.0, 24.0, 33.0]
[29, 25, 22, 31, 29, 32, 31];[27.0, 22.0, 21.0, 27.0, 27.0, 23.0, 27.0]
[21, 33, 34, 27, 28, 27, 29];[20.0, 24.0, 25.0, 22.0, 21.0, 22.0, 21.0]
[31, 21, 30, 31, 27, 25, 35];[29.0, 17.0, 22.0, 21.0, 22.0, 23.0, 28.0]
[42, 35, 22, 34, 21, 20, 25];[34.0, 30.0, 20.0, 27.0, 20.0, 14.0, 19.0]
[35, 30, 29, 25, 29, 36, 15];[34.0, 27.0, 29.0, 24.0, 27.0, 32.0, 15.0]
[24, 21, 34, 28, 35, 26, 31];[22.0, 19.0, 32.0, 23.0, 32.0, 18.0, 25.0]
[26, 39, 27, 32, 26, 29, 20];[25.0, 34.0, 23.0, 32.0, 25.0, 27.0, 18.0]
[27, 30, 28, 31, 36, 30, 17];[23.0, 22.0, 24.0, 28.0, 33.0, 27.0, 15.0]
[26, 36, 33, 22, 28, 24, 30];[25.0, 34.0, 30.0, 19.0, 24.0, 15.0, 26.0]
[21, 31, 16, 23, 27, 31, 50];[20.0, 26.0, 14.0, 22.0, 26.0, 28.0, 43.0]
[20, 32, 21, 29, 32, 35, 30];[15.0, 31.0, 18.0, 23.0, 28.0, 33.0, 26.0]
[25, 30, 29, 32, 31, 30, 22];[18.0, 29.0, 26.0, 27.0, 30.0, 27.0, 18.0]
[26, 28, 27, 38, 34, 24, 22];[23.0, 20.0, 24.0, 32.0, 28.0, 19.0, 20.0]
[28, 46, 25, 27, 26, 19, 28];[27.0, 37.0, 22.0, 26.0, 26.0, 16.0, 19.0]
[32, 26, 30, 26, 31, 31, 23];[30.0, 22.0, 29.0, 22.0, 29.0, 25.0, 21.0]
[23, 25, 23, 39, 31, 35, 23];[21.0, 24.0, 23.0, 37.0, 28.0, 28.0, 20.0]
[27, 29, 30, 24, 15, 36, 38];[25.0, 25.0, 29.0, 21.0, 15.0, 29.0, 36.0]
[19, 36, 22, 26, 38, 35, 23];[17.0, 34.0, 17.0, 24.0, 37.0, 34.0, 20.0]
[41, 20, 20, 35, 25, 34, 24];[38.0, 19.0, 18.0, 33.0, 24.0, 31.0, 22.0]
[28, 33, 24, 30, 35, 23, 26];[23.0, 22.0, 21.0, 25.0, 31.0, 22.0, 19.0]
[34, 25, 25, 17, 39, 26, 33];[29.0, 23.0, 21.0, 15.0, 36.0, 21.0, 28.0]
[34, 15, 29, 34, 34, 26, 27];[31.0, 14.0, 27.0, 33.0, 32.0, 26.0, 25.0]
[26, 33, 41, 31, 19, 27, 22];[23.0, 26.0, 34.0, 28.0, 19.0, 22.0, 18.0]
[32, 35, 34, 21, 30, 28, 19];[30.0, 32.0, 32.0, 19.0, 27.0, 26.0, 18.0]
[35, 22, 23, 27, 26, 27, 38];[34.0, 18.0, 21.0, 26.0, 21.0, 27.0, 30.0]
[28, 22, 27, 22, 30, 31, 39];[26.0, 21.0, 22.0, 19.0, 29.0, 27.0, 36.0]
[49, 26, 27, 17, 13, 36, 31];[43.0, 24.0, 25.0, 12.0, 12.0, 34.0, 25.0]
[34, 26, 35, 30, 27, 21, 25];[32.0, 24.0, 30.0, 27.0, 27.0, 19.0, 23.0]
[30, 23, 28, 23, 35, 35, 25];[28.0, 21.0, 27.0, 21.0, 32.0, 28.0, 24.0]
[31, 13, 40, 39, 25, 27, 24];[23.0, 10.0, 33.0, 30.0, 21.0, 17.0, 16.0]
[32, 27, 34, 25, 23, 23, 35];[30.0, 26.0, 33.0, 22.0, 23.0, 19.0, 35.0]
[39, 34, 26, 22, 22, 22, 34];[37.0, 33.0, 21.0, 21.0, 19.0, 19.0, 28.0]
[25, 32, 25, 25, 29, 31, 32];[18.0, 27.0, 20.0, 23.0, 26.0, 29.0, 29.0]
[27, 42, 26, 20, 25, 24, 35];[26.0, 34.0, 25.0, 20.0, 24.0, 17.0, 33.0]
[20, 44, 33, 22, 26, 36, 18];[19.0, 42.0, 32.0, 22.0, 25.0, 29.0, 17.0]
[42, 33, 24, 23, 27, 28, 22];[40.0, 31.0, 23.0, 21.0, 26.0, 27.0, 22.0]
[29, 32, 27, 24, 22, 36, 29];[25.0, 31.0, 22.0, 21.0, 22.0, 27.0, 28.0]
[32, 19, 25, 34, 19, 39, 31];[28.0, 17.0, 17.0, 24.0, 18.0, 31.0, 22.0]
[26, 30, 27, 32, 25, 27, 32];[24.0, 23.0, 23.0, 25.0, 24.0, 25.0, 28.0]
