[32, 26, 44, 28, 30, 39];[27.0, 22.0, 36.0, 27.0, 22.0, 35.0]
[39, 22, 35, 44, 29, 29];[36.0, 19.0, 32.0, 40.0, 28.0, 27.0]
[27, 35, 29, 36, 42, 30];[27.0, 33.0, 28.0, 35.0, 38.0, 30.0]
[40, 42, 34, 30, 19, 34];[35.0, 37.0, 33.0, 25.0, 19.0, 32.0]
[29, 39, 38, 30, 35, 28];[28.0, 37.0, 33.0, 25.0, 31.0, 22.0]
[32, 31, 32, 37, 40, 27];[31.0, 27.0, 30.0, 31.0, 34.0, 26.0]
[36, 30, 38, 40, 31, 24];[33.0, 28.0, 35.0, 38.0, 29.0, 19.0]
[31, 28, 39, 38, 37, 26];[30.0, 28.0, 35.0, 35.0, 36.0, 24.0]
[72, 69, 10, 17, 22, 9];[72.0, 68.0, 9.0, 11.0, 22.0, 8.0]
[35, 39, 21, 40, 32, 32];[34.0, 35.0, 20.0, 30.0, 28.0, 31.0]
[24, 30, 16, 58, 36, 35];[23.0, 30.0, 15.0, 55.0, 35.0, 34.0]
[29, 32, 33, 44, 34, 27];[26.0, 31.0, 30.0, 40.0, 29.0, 26.0]
[27, 26, 54, 41, 22, 29];[27.0, 23.0, 54.0, 37.0, 22.0, 27.0]
[28, 34, 32, 42, 22, 41];[23.0, 33.0, 27.0, 36.0, 20.0, 41.0]
[32, 34, 33, 43, 33, 23];[29.0, 30.0, 33.0, 42.0, 29.0, 23.0]
[40, 37, 29, 42, 23, 28];[38.0, 34.0, 27.0, 37.0, 22.0, 23.0]
[45, 40, 23, 33, 26, 32];[43.0, 36.0, 22.0, 31.0, 25.0, 30.0]
[37, 18, 46, 36, 27, 35];[36.0, 18.0, 39.0, 30.0, 22.0, 33.0]
[43, 34, 26, 39, 23, 34];[41.0, 31.0, 25.0, 35.0, 23.0, 32.0]
[41, 34, 25, 34, 36, 29];[41.0, 33.0, 25.0, 32.0, 34.0, 26.0]
[44, 28, 23, 39, 22, 43];[42.0, 28.0, 23.0, 39.0, 21.0, 41.0]
[44, 31, 32, 28, 37, 27];[43.0, 27.0, 30.0, 26.0, 35.0, 21.0]
[42, 22, 24, 38, 24, 49];[39.0, 22.0, 22.0, 34.0, 21.0, 46.0]
[37, 23, 31, 45, 30, 32];[35.0, 21.0, 30.0, 42.0, 29.0, 32.0]
[37, 25, 41, 40, 25, 31];[37.0, 23.0, 35.0, 39.0, 24.0, 31.0]
[48, 36, 33, 26, 26, 29];[44.0, 36.0, 33.0, 21.0, 22.0, 29.0]
[34, 27, 32, 49, 26, 31];[31.0, 24.0, 30.0, 41.0, 25.0, 23.0]
[26, 28, 25, 27, 47, 46];[26.0, 26.0, 24.0, 24.0, 46.0, 44.0]
[34, 45, 27, 43, 29, 21];[32.0, 42.0, 25.0, 39.0, 26.0, 20.0]
[32, 22, 44, 29, 23, 48];[30.0, 21.0, 43.0, 28.0, 22.0, 43.0]
[28, 30, 36, 36, 33, 35];[26.0, 27.0, 35.0, 31.0, 30.0, 32.0]
[32, 33, 27, 49, 16, 41];[30.0, 32.0, 25.0, 38.0, 14.0, 37.0]
[33, 47, 23, 42, 26, 28];[32.0, 45.0, 23.0, 39.0, 23.0, 27.0]
[53, 26, 31, 34, 28, 27];[52.0, 25.0, 29.0, 32.0, 27.0, 25.0]
[38, 28, 22, 43, 28, 40];[32.0, 20.0, 17.0, 38.0, 27.0, 38.0]
[22, 41, 37, 28, 40, 31];[21.0, 34.0, 33.0, 23.0, 38.0, 25.0]
[24, 29, 29, 52, 40, 25];[21.0, 27.0, 27.0, 49.0, 35.0, 23.0]
[28, 41, 24, 45, 32, 28];[26.0, 38.0, 16.0, 42.0, 29.0, 27.0]
[31, 30, 40, 40, 26, 32];[27.0, 28.0, 36.0, 38.0, 21.0, 30.0]
[34, 37, 26, 35, 23, 43];[31.0, 34.0, 26.0, 31.0, 21.0, 33.0]
[28, 37, 34, 37, 30, 32];[25.0, 36.0, 30.0, 34.0, 28.0, 28.0]
[28, 33, 34, 48, 25, 30];[27.0, 31.0, 33.0, 44.0, 23.0, 27.0]
[39, 38, 37, 26, 28, 31];[33.0, 34.0, 34.0, 24.0, 27.0, 30.0]
[28, 51, 33, 30, 32, 24];[26.0, 43.0, 30.0, 26.0, 29.0, 21.0]
[32, 24, 29, 54, 29, 30];[32.0, 23.0, 29.0, 52.0, 28.0, 28.0]
[20, 36, 40, 25, 35, 43];[20.0, 33.0, 37.0, 25.0, 31.0, 38.0]
[38, 32, 34, 37, 24, 33];[35.0, 30.0, 33.0, 35.0, 23.0, 31.0]
[33, 31, 40, 31, 24, 40];[30.0, 31.0, 33.0, 27.0, 23.0, 38.0]
[48, 33, 24, 28, 31, 34];[47.0, 31.0, 21.0, 23.0, 29.0, 29.0]
[40, 27, 41, 38, 27, 26];[38.0, 24.0, 39.0, 31.0, 27.0, 22.0]
[37, 46, 32, 27, 18, 38];[34.0, 45.0, 30.0, 23.0, 18.0, 36.0]
[39, 32, 28, 36, 28, 36];[33.0, 30.0, 26.0, 32.0, 27.0, 32.0]
[26, 26, 36, 43, 33, 34];[25.0, 23.0, 35.0, 42.0, 31.0, 30.0]
[30, 33, 28, 29, 40, 39];[29.0, 28.0, 26.0, 26.0, 38.0, 38.0]
[41, 32, 31, 30, 35, 29];[40.0, 30.0, 30.0, 28.0, 33.0, 28.0]
[47, 39, 22, 35, 22, 34];[47.0, 39.0, 21.0, 33.0, 22.0, 30.0]
[36, 29, 35, 39, 30, 30];[36.0, 27.0, 32.0, 35.0, 29.0, 30.0]
[34, 29, 29, 39, 36, 32];[33.0, 29.0, 27.0, 36.0, 32.0, 32.0]
[43, 30, 37, 33, 29, 25];[40.0, 29.0, 36.0, 33.0, 29.0, 24.0]
[39, 23, 33, 32, 24, 48];[36.0, 21.0, 28.0, 32.0, 24.0, 42.0]
[33, 37, 28, 41, 29, 31];[31.0, 34.0, 25.0, 36.0, 26.0, 30.0]
[33, 39, 22, 44, 32, 29];[32.0, 39.0, 22.0, 43.0, 31.0, 26.0]
[30, 48, 27, 44, 22, 28];[28.0, 43.0, 24.0, 42.0, 22.0, 25.0]
[30, 49, 24, 35, 30, 31];[28.0, 46.0, 24.0, 32.0, 28.0, 30.0]
[47, 31, 28, 30, 37, 26];[47.0, 30.0, 25.0, 30.0, 36.0, 24.0]
[40, 40, 23, 44, 25, 27];[37.0, 38.0, 23.0, 39.0, 25.0, 26.0]
[37, 39, 25, 49, 27, 22];[36.0, 37.0, 22.0, 45.0, 24.0, 19.0]
[40, 25, 36, 43, 24, 31];[40.0, 24.0, 35.0, 42.0, 24.0, 30.0]
[37, 40, 35, 37, 27, 23];[29.0, 32.0, 30.0, 29.0, 24.0, 22.0]
[45, 36, 30, 25, 27, 35];[42.0, 36.0, 27.0, 21.0, 23.0, 27.0]
[44, 51, 17, 38, 26, 23];[42.0, 49.0, 16.0, 34.0, 24.0, 20.0]
[37, 44, 30, 45, 16, 27];[34.0, 42.0, 29.0, 40.0, 16.0, 24.0]
[42, 30, 28, 45, 23, 31];[41.0, 28.0, 25.0, 43.0, 22.0, 25.0]
[47, 33, 31, 31, 25, 30];[46.0, 31.0, 31.0, 26.0, 24.0, 27.0]
[30, 38, 35, 33, 34, 29];[26.0, 35.0, 33.0, 33.0, 32.0, 25.0]
[25, 23, 52, 28, 35, 36];[23.0, 20.0, 50.0, 27.0, 33.0, 30.0]
[46, 38, 32, 37, 19, 28];[39.0, 36.0, 32.0, 32.0, 15.0, 27.0]
[34, 45, 29, 41, 25, 25];[29.0, 42.0, 29.0, 36.0, 24.0, 24.0]
[24, 44, 26, 36, 29, 39];[23.0, 44.0, 26.0, 30.0, 25.0, 37.0]
[29, 33, 15, 47, 44, 31];[28.0, 32.0, 14.0, 42.0, 41.0, 29.0]
[37, 29, 39, 34, 31, 29];[36.0, 26.0, 38.0, 32.0, 29.0, 29.0]
[34, 25, 47, 38, 30, 25];[31.0, 24.0, 43.0, 38.0, 28.0, 24.0]
[35, 27, 44, 36, 28, 29];[33.0, 27.0, 42.0, 36.0, 28.0, 29.0]
[26, 37, 30, 41, 30, 35];[25.0, 36.0, 29.0, 40.0, 29.0, 32.0]
[33, 37, 22, 58, 21, 27];[33.0, 34.0, 18.0, 56.0, 20.0, 26.0]
[44, 33, 29, 38, 21, 33];[37.0, 31.0, 28.0, 33.0, 18.0, 30.0]
[39, 34, 41, 26, 38, 21];[36.0, 33.0, 41.0, 25.0, 38.0, 20.0]
[38, 23, 28, 40, 29, 41];[36.0, 17.0, 22.0, 36.0, 27.0, 32.0]
[35, 10, 55, 17, 42, 40];[34.0, 8.0, 52.0, 16.0, 41.0, 39.0]
[27, 44, 24, 40, 32, 32];[26.0, 43.0, 23.0, 38.0, 29.0, 30.0]
[26, 33, 39, 43, 22, 36];[25.0, 33.0, 38.0, 42.0, 19.0, 36.0]
[33, 37, 30, 39, 37, 23];[30.0, 35.0, 27.0, 37.0, 33.0, 23.0]
[50, 27, 28, 38, 21, 34];[47.0, 26.0, 27.0, 36.0, 19.0, 32.0]
[39, 46, 26, 39, 29, 20];[37.0, 42.0, 25.0, 38.0, 24.0, 19.0]
[21, 35, 32, 41, 33, 37];[21.0, 33.0, 30.0, 40.0, 33.0, 34.0]
[31, 40, 26, 42, 34, 25];[30.0, 39.0, 24.0, 42.0, 31.0, 24.0]
[27, 40, 31, 40, 33, 27];[26.0, 39.0, 28.0, 38.0, 31.0, 25.0]
